Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Salary
 Informatica Faculty Job Requirement in Hyderabad,1 - 6 yrs, Informatica Power Center/ Informatica,Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,1900
 SEO Expert/ Digital Marketing Gurgaon,2 - 4 yrs, seo/ digital marketing/ seo expert/ advertising agency/ facebook marketing/ seo specialist/ online marketing,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist,3304
 Head Engineering,5 - 10 yrs, Boiler/ who/ Design/ Validation/ Breakdown Maintenance/ RO/ Air Compressor/ HVAC/ Installation/ gmp/ Gensets/ Industrial Safety/ Breakdown,Production/Manufacturing/Maintenance,Delhi,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager,6496
 Business Development Executive,5 - 10 yrs, Forecasting,Finance/Audit,Delhi,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst,3327
 PPC Executive,3 - 7 yrs, Yahoo/ Search Engine Marketing/ SEM/ Google AdWords/ Web Analytics/ Marketing Initiatives/ Website Analysis/ Pay Per Click/ Google Analytics/ PPC,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist,5858
 Opening For the post of Mr/territory Business Manager in An Pharma,0 - 2 yrs, marketing officer/ Marketing Representative/ sales officer/ sales representative/ sales executive/ pharma marketing/ marketing executive/ Fresher/ pharma sales/ trainee/ business development executive,Retail Sales,"Delhi NCR,Delhi","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,6677
 Deputy Manager - Program Management,2 - 6 yrs, External audit/ Project life cycle/ Resource mobilization/ PPAP/ Risk management/ Automotive/ PFMEA/ Conflict resolution/ Project management,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance,6256
 Public Relations Manager - Bangalore,6 - 11 yrs, mass communication/ corp comm/ Media Relations/ Social Media/ corporate communication/ Journalism/ Advertising/ Public Relations/ Marketing Communication/ public relation/ Online Media/ media relation/ PR,Public Relations,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager,2980
 Female Fresher's Counsellor- Gurgaon,0 - 1 yrs, student counsellor/ fresher/ counselling/ couselling/ student counseling,Other,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher,3203
 BE Chemical - Fresher,0 - 2 yrs, Help Desk/ Vendor Management/ access controls/ Customer Service/ Asset Management/ customer relationship,Other,"Ahmedabad,Bharuch","Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher,2117
 Senior .Net Developer For Leading IT Company in Gurgaon,2 - 7 yrs, Dot Net Developer/ .net developer/ asp.net/ asp . net/ asp dot net,Programming & Design,"Delhi NCR,Gurgaon,Delhi","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4640
 Hiring a Valuation Associate (female Only),0 - 4 yrs, Report Preparation/ Primary/ Due Diligence/ Financial Modelling/ Secondary Research/ Real Estate/ Valuation/ Business Development/ Finance,Other,Gurgaon,Analytics & Business Intelligence,"Real Estate, Property",Other,6276
 Merchandising & Marketing- Professor,10 - 12 yrs, Educator/ Mentor/ Trainer/ Advisor/ Counselor/ Teaching,University Level,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,5173
 PHP Developer,0 - 3 yrs, zend/ joomla/ javascript/ knowledge/ xhtml/ drupal/ cakephp/ cms/ ajax/ wordpress,Programming & Design,"Noida,Noida/Greater Noida","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5518
 Business Development Manager,1 - 2 yrs, Management/ Sales management/ Sales/ Educational sales,Retail Sales,Noida,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager,5099
 Looking for a Job Change With a good package,1 - 5 yrs, Inbound calls/ Antivirus/ Technical support/ process/ Technical Support Associate/ Comp/ Outbound/ US shift/ Sales,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),5809
 Huge Requirement for Customer Care Executive with Fixed Salary,0 - 2 yrs, Inbound calls/ English/ Antivirus/ Customer Care Executive/ Technical support/ Issue/ Comp/ Software,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),4466
 Field Sales Executive,0 - 2 yrs, Sales achievement/ Field Sales Executive/ Training/ Escalation management/ Insurance sales,Retail Sales,Ghaziabad,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,3150
 Sr. Manager Sales Capability Building,10 - 15 yrs, Productivity improvement/ Training management/ Sales budgeting/ Salesforce/ Skill development/ Training/ TSI/ Usage/ Team management/ Sales,Sales Support,Kolkata,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Sales Trainer,3702
 Service Ops Expert - Servc Del | Microland,2 - 5 yrs, Change management/ Problem management/ Publishing/ VMware/ Networking/ Scheduling/ Unix/ Remedy/ Incident management/ SIP,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),5079
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),4 - 9 yrs, faculty/ training/ trainer/ training manager/ planning,Teachers,"Ahmedabad,Indore","Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Trainer,6619
 Sales Manager,3 - 6 yrs, Insurance sales/ Networking/ Corporate/ Business reporting/ Usage/ MS Office/ Billing/ MIS preparation/ Sales/ Retail,Retail Sales,Chandigarh,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,4874
 Sr. C# Developer,1 - 6 yrs, solid/ Ajax/ DOM/ net/ developing/ database/ SQL/ Application development/ applications/ Stored procedures/ application/ Reporting tools/ HTML/ css/ technical/ programming/ tracking/ XML/ development/ web/ server/ software/ data integrity/ Javascript,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5162
 Sr Structural Engineer,5 - 10 yrs, Senior Design Engineer/ Engineering Design/ SACS,Engineering Design,Mumbai,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,4160
 IT Security Head ,4 - 8 yrs, PMP/ Oracle/ C/ Six Sigma/ JavaScript/ SQL/ .NET/ Real Time Operating Systems/ Python/ HTML/ assembly language,Senior Management,Hyderabad,"IT Software - Network Administration , Security","IT-Software, Software Services",Head/VP/GM-Technology(IT)/CTO,3495
 Technical Support Executive,2 - 5 yrs, Technical Support Executive/ Electrical engineering,Voice,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Associate/Senior Associate -(Technical),5049
 Analyst - Business Intelligence,1 - 3 yrs, Excel/ Google Analytics/ Analytical/ Data extraction/ SQL/ Product marketing/ Business intelligence/ Analytics/ Data analysis/ Automation,System Design/Implementation/ERP/CRM,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Business Analyst,6346
Nokia WING Circuit Core - SMSC Engineer, 5 - 10 Years,Detail Design/IP Networking/SMSC Engineer/Switching/Data Center/Juniper/Network Elements/High Level Design/Network Troubleshooting/Routing,Programming & Design,Noida,"IT Software - Network Administration , Security",Telecom / ISP,Software Developer,2040
 Assistant Restaurant Manager / Restaurant Manager,5 - 7 yrs, restaurant manager/ assistant restaurant manager/ restaurant,Food & Beverage,Delhi NCR,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Restaurant Manager,4142
 Digital / Web Artist,0 - 3 yrs, html/ layout/ visualization/ tools/ graphic design/ digital media/ part time/ illustration,Creative,"Mumbai,Mumbai","Design , Creative , User Experience","Advertising, PR, MR, Event Management",Graphic Designer,2409
 Business Development Manager,2 - 7 yrs, business operations/ selling/ ideas/ events/ closing/ prospecting/ tracking/ coordinating/ accounts/ maintaining,Senior Management,"Mumbai,Mumbai","Sales , Retail , Business Development","IT-Software, Software Services",Head/VP/GM/National Manager -Sales,5623
 Web/ GUI Designer,3 - 5 yrs, seo/ gui/ fireworks/ usability/ jquery/ photoshop/ illustrator/ development/ static/ css3,Creative,Gurgaon,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,3031
" Web Designer - Html, CSS, Bootstrap, Photoshop",1 - 3 yrs, CSS3/ Web technologies/ html5/ CSS/ Photoshop/ bootstrap/ Wordpress/ HTML,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Graphic/Web Designer,5617
 Python Developer,1 - 3 yrs, Python,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,6417
 Web Designer,4 - 5 yrs, javascript/ graphics/ multimedia/ troubleshooting/ audio/ user interface/ jquery/ monitoring/ css3/ server,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Graphic/Web Designer,6991
 AVP- FX MO,8 - 10 yrs, Senior management/ Vice President/ Training/ Building/ Risk/ Focus/ Trade/ MIS reporting/ Associate Vice President/ Management,Senior Management,Mumbai,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Head/VP/GM-Operations,2171
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura,4 - 9 yrs, Business Growth/ New Business/ Alliances/ Profitability/ Sales Head/ Tied Channel/ Sales/ Business Operations,Senior Management,"Delhi NCR,Mumbai,Pune,Ahmedabad,Nagpur,Nashik,Gujarat,Maharashtra","Sales , Retail , Business Development",Insurance,Head/VP/GM/National Manager -Sales,4449
 Head - Project Management,15 - 20 yrs, Project Management,Senior Management,Delhi NCR,"Production , Manufacturing , Maintenance","Real Estate, Property",Head/VP/GM-Operations,1704
 Walk- In For Development QA/ Regulatory Affairs,4 - 8 yrs, DQA/ Regulatory Affairs/ Dmf/ Life Sciences/ development quality assurance/ QA/ QMS/ Life Cycle,R&D,Hyderabad,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Research Scientist,6937
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),10 - 14 yrs, statutory compliance/ accounting/ gst/ vat/ finance/ financial reporting,Accounts,Delhi NCR,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Accounts Manager,2770
 Team Leader- Head Digital Prtnrshp & BD,8 - 12 yrs, Data analysis/ Management/ Consumer research/ Head Business Development,Retail Sales,Mumbai,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,6205
 DWH Tester - Manual Testing,4 - 6 yrs, Testing/ Quality/ BI/ Manual Testing/ Datawarehouse Testing/ DW/ ETL,Programming & Design,"Delhi NCR,Gurgaon",IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,1918
 Quality Assurance Engineer,3 - 5 yrs, PMP/ Oracle/ Six Sigma/ C/ JavaScript/ SQL/ .NET/ HTML/ assembly language/ Python,QA/Testing/Documentation,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Quality Assurance/Quality Control Executive,6652
 Technical / Functional Skills,4 - 9 yrs, GIT/ CV/ Ideas/ Product management/ Email/ Linkedin/ Automation/ Technical/ Business process/ SDLC,Institutional Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,5227
 Software Development / Software Engineer,2 - 4 yrs, application development/ programming/ javascript/ website/ erp/ mca/ php/ module/ development/ software development/ web/ ajax/ application,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5554
 Inbound Phone Banking Voice Process - Leading Bank - Noida,0 - 2 yrs, call center/ cse/ customer service/ non voice/ trainee/ voice process/ fresher/ hardware/ cce/ cro/ domestic bpo/ customer care/ communication/ inbound/ telecalling/ Telemarketing/ backend/ back office/ Outbound/ networking/ data entry/ voice/ team/ bpo/ sales,Voice,Noida,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",Associate/Senior Associate -(NonTechnical),6440
Java Enterprise Edition, 2 - 4 Years,spring integration/Spring framework/Manager Technology/Outsourcing/Oracle/Operations/Core Java/Business process/JEE/J2Ee,Programming & Design, Mumbai,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,1954
 Associate Clinical Data Processor,0 - 1 yrs, Data entry/ MS Office,Voice,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical),5541
 CRM,1 - 2 yrs, Testing/ Proposal preparation/ Database/ Customer relationship/ Automobile/ CRM strategy/ Architecture,Corporate Sales,Bengaluru,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,5386
 Magento Developer,2 - 7 yrs, CSS3/ JSON/ Ajax/ MVC/ Prototype/ PHP/ Version control/ MySQL/ Unix/ XML,Programming & Design,Ahmedabad,IT Software - System Programming,"BPO, Call Centre, ITeS",Software Developer,1965
 Hiring ll Azure Devops and Management Lead ll Hyderabad,6 - 11 yrs, Debugging/ Powershell/ Application Integration/ Script Writing/ Devops/ C#/ Azure/ API,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,2275
 computer operator,1 - 3 yrs, WHO/ Comm/ level/ Typing speed/ MS Office/ Software/ Software services/ Computer Operator,,"Gurgaon,Noida","Executive Assistant , Front Office , Data Entry","IT-Software, Software Services",Stenographer/Data Entry Operator,1567
 Operation Executive,2 - 3 yrs, operations management/ general management/ Resource Mobilization/ Recruitment/ mobilization/ interview,Administration/Facility Management,Delhi NCR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Executive/ Sr Executive - Administration,6411
 Customer Support Executive,0 - 1 yrs, Customer Support Executive/ process/ Business Executive/ Customer service,Voice,Chandigarh,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),6307
 Corporate-Day Care Manager.,2 - 4 yrs, Recruitment/ Staff Training/ Day Care,Teachers,Pune,"Teaching , Education , Training , Counselling","Education, Teaching, Training",DaycareTeacher / Incharge / Attendant,5736
 Hiring going on for .US Inbound Tech Support/ Sales,1 - 6 yrs, International BPO/ Night shift/ Technical support/ Spot/ process,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),5197
Deputy Manager- Performance/digital Marketing, 4 - 9 Years,seo/email marketing/display advertising/sem/digital marketing/digital campaigns/google analytics/adwords,Online/Digital Marketing, Delhi NCR,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training,Social Media Marketing Manager,3419
" Technical Lead -(VoIP,Cisco Call Manager)",2 - 7 yrs, sip/ communication skills/ offshore/ cisco call manager/ java/ j2ee/ visa,Programming & Design,"Bengaluru,Bengaluru / Bangalore",IT Software - Telecom Software,"IT-Software, Software Services",Team Lead/Technical Lead,6134
 Relationship Manager,3 - 8 yrs, handset/ Distribution Management/ Change Management/ Mobile/ mobile handset/ Retailer/ mobiles/ Marketing/ dealer management/ Sales/ channel management/ Business Development/ Relationship Management,Channel Sales,Chandigarh,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales / BD Manager,2897
 Graphic Designer,2 - 4 yrs, Illustrator/ Photoshop/ Corel Draw,Creative,Gurgaon,"Design , Creative , User Experience","Education, Teaching, Training",Graphic Designer,3523
 Consultant,2 - 5 yrs, Artificial Intelligence/ Manual testing/ microsoft/ Process automation/ Analytics/ System testing/ PDF/ Regression testing/ Silicon/ Informatica,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,5116
 Immediate Requirement for Fusion Technical Lead Developer,10 - 16 yrs, Technical Architecture/ Fusion/ Oracle Fusion,Programming & Design,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead,1571
 Layout Designer / Web Designer,1 - 5 yrs, Layout design/ Photoshop/ Web designing/ Corel Draw,Programming & Design,Ahmedabad,IT Software - Other,"Recruitment, Staffing",Graphic/Web Designer,4452
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc,0 - 4 yrs, International BPO/ Bpo Voice/ Voice Process,Voice,"Mumbai,Mumbai Suburbs,Navi Mumbai,Thane,Vasai","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),6576
 Asp.net with Angular JS & Html5 - Hyderabad,5 - 7 yrs, ASP/ HTML5,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5816
 Sales Manager Product and Portfolio,5 - 10 yrs, Banking/ Relationship/ Recruitment/ Product training/ Sales,Retail Sales,Hyderabad,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,5244
 Key Accounts Manager,6 - 11 yrs, Key accounts/ Service/ Monitoring/ Relationship building/ Customer profitability/ Transportation/ Education/ Receivable management,Corporate Sales,Mumbai,"Sales , Retail , Business Development","Recruitment, Staffing",Client Servicing/Key Account Manager,4830
 Store Head-leading Manufacturing Company,10 - 15 yrs, Logistics/ Stores/ warehouse,Logistics,Bengaluru,Purchase / Logistics / Supply Chain,"Automobile, Auto Anciliary, Auto Components",Logistics Manager,5436
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl,2 - 6 yrs, Inbound calls/ English/ Technical support/ Troubleshooting/ Customer service/ Email/ Recruitment/ Outbound/ Comp/ BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),2415
 Java Software Engineer,1 - 5 yrs, Fixed income/ Coding/ Computer science/ Asset management/ Linux/ Machine learning/ JIRA/ Agile/ Python/ Financial services,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer,3812
 Admin Executive,2 - 5 yrs, admin executive/ English/ Writing/ Stock inventory/ Office management/ MS Office/ Billing/ Application/ Management/ Business Executive,Administration/Facility Management,Chandigarh,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Executive/ Sr Executive - Administration,3055
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa,12 - 17 yrs, Credit Officers/ Risk Management/ Analysts/ analytical skills/ Report Generation/ Administration,Senior Management,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Head/VP/GM-Finance/Audit,1789
 Accounts Manager (male),7 - 12 yrs, financial auditing/ service tax/ taxation/ Balance Sheet Finalisation/ gst/ bank reconciliation/ finance/ tax audit/ income tax,Accounts,"Gurgaon,Noida","Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,5212
 Applications Analyst OEE,3 - 5 yrs, Change management/ Problem management/ Software development life cycle/ Scheduling/ Healthcare/ Social media/ Analyst/ OEE/ Business Analyst,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Software Developer,6067
 Customer Service Engineer - - ICD Security Solutions,2 - 7 yrs, CV/ Troubleshooting/ Customer service/ Security/ CCTV/ Customer Service Representative/ Copyright,Corporate Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Client Servicing/Key Account Manager,3180
 Urgently Required Senior PHP Developer(laravel) || Gurgaon ,2 - 5 yrs, CSS/ jQuery/ MySQL/ Javascript/ HTML/ Web Development/ Codeigniter/ Laravel,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3588
 Associate Process Consultant,7 - 12 yrs, Telecommunication/ LAN/ Networking/ VPN/ Costing/ Visio/ Bss/ Wireless/ Telecom/ WAN,Project Management,Pune,IT Software - Telecom Software,"IT-Software, Software Services",Project Manager-IT/Software,4791
 Infrastructure management- Lecturer,5 - 7 yrs, Educator/ Mentor/ Trainer/ Advisor/ Counselor/ Teaching,University Level,Ghaziabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor,1958
 Finance Admin,4 - 6 yrs, Variance analysis/ management/ Analytical skills/ Business communication/ Transition management/ Trend analysis/ Analytics/ Business objects/ Team management,Finance/Audit,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Financial Analyst,3214
 Guest Relations Executive,6 - 7 yrs, Database/ C/ Advertising/ Customer service/ Merchandising/ PDF/ Social media/ Usage/ Cash handling,Senior Management,"Mumbai,Delhi","Sales , Retail , Business Development","NGO, Social Services, Regulators, Industry Associations",Head/VP/GM/National Manager -Sales,5474
 Salesforce System Architect,8 - 12 yrs, system design/ salesforce.com/ application architecture/ salesforce,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,4146
System Monitoring Tools & Techniques Professional, 13 - 15 Years,Project Management/Execution/Monitoring Tools/AO engagement/Stakeholder Management/System Monitoring/Delivery Management,Project Management, Bengaluru,"IT Software - ERP , CRM",IT-Software / Software Services,Project Manager-IT/Software,4639
 HR Recruiter,0 - 2 yrs, Screening/ Staffing/ Hiring/ Recruitment/ HR/ Interviewing,Other,Navi Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher,6420
 Business Development Manager (eCommerce),1 - 3 yrs, bidding/ academic/ cold calling/ selling/ seo/ mba/ bca/ customer service/ documentation/ web development,Corporate Sales,Delhi,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,3524
 Java Developer - Spring/ Hibernate,5 - 10 yrs, System Design/ Hibernate/ Java/ ESB/ Webservices/ SQL/ Spring Boot/ Javascript/ Spring,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3676
 Python Developer,0 - 1 yrs, Programming/ Debugging/ Python/ OOPS/ developer/ Troubleshooting/ Interpersonal skills,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,5033
 Sales And Marketing/Business Development manager,2 - 7 yrs, Cold calling/ Service/ English/ Business Development Manager/ Customer interfacing/ WHO/ Networking/ Direct sales/ Digital marketing/ Data collection,Retail Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,2992
 Microsoft Developer,2 - 7 yrs, MVC/ microsoft/ build automation/ SQL/ Entity framework,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,3091
 Customer Service Executive (Adeeba Group) for Tech Support/ Sales,2 - 7 yrs, Antivirus/ Customer Service Executive/ Technical support/ Domestic BPO/ RecruitmentEnglish/ Comp/ Outbound/ Troubleshooting,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),4963
 Inbound Technical Support With Attractive Salary Package,0 - 5 yrs, Antivirus/ Technical support/ Medical/ Technical Support Associate/ Email/ Comp/ Outbound/ US shift/ Sales/ Troubleshooting,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),5156
" Placement Officer,",0 - 5 yrs, HR/ recruitment officer/ recruitment executive/ Human Resource Management/ Placement Coordination,Other,Pune,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Outside Consultant,1510
 Walk-in Interviews For Sr.executive - Procurement on 5th July,2 - 5 yrs, supply chain management/ Strategic Sourcing/ procurement/ Packaging/ Vendor Management,Purchase/Material Management,Gurgaon,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase Executive,5829
Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore, 2 - 5 Years,Test Engineering,Programming & Design,Bengaluru (Bellandur) ,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,3991
 Senior TSA Inbound Tech Process,0 - 2 yrs, International BPO/ Technical support/ Sales process/ process/ Technical Support Associate/ Outbound/ US shift/ Senior/ Technical,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),5791
 Freelance Corporate Trainer on Taleo,5 - 10 yrs, technical trainer/ Corporate Training/ corporate trainer,Teachers,Bengaluru,"Teaching , Education , Training , Counselling","IT-Software, Software Services",Trainer,2591
 Senior Java Developer- Urgently Required by Mumbai IT Company,3 - 5 yrs, Hibernate/ jms/ spring/ java/ mongodb,Programming & Design,Mumbai (Sakinaka) ,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6616
 Manager Procurement,4 - 5 yrs, Procurement/ Supply chain management/ Chain/ Head Operations/ Business Executive/ Steel/ Purchase/ Automation/ Copyright,Purchase/Material Management,Mumbai,Purchase / Logistics / Supply Chain,"Advertising, PR, MR, Event Management",Purchase/Vendor Development Manager,5994
 Senior Software Engineer - UI Development - Javascript/angularjs,5 - 10 yrs, javascript/ html5/ ui development/ software engineering/ software development life cycle/ css/ design patterns/ angularjs/ svn,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1822
 Telle Caller,0 - 2 yrs, gopod efficiency/ ability to face strangers/ good speeking manners/ good communication skill/ punctual,Voice,Delhi,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Telecalling/Telemarketing Executive,4502
 Documentation Executive,8 - 10 yrs, Tender Preparation/ e - tendering/ bid preparation/ proposal preparation,,Delhi NCR (Green Park) ,Other,"Architecture, Interior Design",Other,3090
 Restaurant Cashier,2 - 4 yrs, Cash Handling/ Cashier/ CSAT/ Cashier Activities/ Restaurant/ Day Book,Front Office/Customer Care,Delhi NCR (Shakti Nagar) ,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Cashier,2985
" Opening For Dot Net Developer @ Baner, Pune",0 - 0 yrs, C#/ Asp.net/ .Net,Other,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Fresher,2711
 Management Trainee,0 - 2 yrs, Excel/ Analytical/ Management Trainee/ MS Office/ Conflict resolution/ Power point presentation/ Sales,Other,Pune,"Sales , Retail , Business Development",Insurance,Trainee,6527
 Junior Company Secretary,3 - 8 yrs, test driven development/ Scrum/ Coding/ Manual testing/ Enterprise applications/ JIRA/ Healthcare/ Android SDK/ Eclipse/ Business Analyst,Programming & Design,Gurgaon,IT Software - QA & Testing,"Medical, Healthcare, Hospitals",Testing Engineer,5970
 Production Manager,1 - 5 yrs, Planning/ Production Manager/ production planning/ production control/ Organizing/ Production Management/ Production Support,Production/Manufacturing/Maintenance,"Chandigarh,Panchkula","Production , Manufacturing , Maintenance","Internet, Ecommerce",Production Manager,6473
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice),0 - 1 yrs, Antivirus/ Technical support/ Medical/ Technical Support Associate/ Email/ Comp/ Outbound/ US shift/ Technical/ Troubleshooting,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),2781
 Business Transformation Consultant,3 - 8 yrs, top management/ business transformation/ project management/ strategy consulting/ management consulting/ change management/ sales strategy,,"Delhi NCR,Mumbai,Bengaluru",Other,"Strategy, Management Consulting Firms",Other,6096
 Content Editor,3 - 6 yrs, Business administration/ Digital media/ Content Editor/ Bengali/ Literature/ Recruitment/ PHP/ LMS/ Administration/ Journalism,Content Development,Hyderabad,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,5611
